Symbol,Name,Market Cap,Price/Earnings,Earnings/Share,Price/Sales
AAPL,Apple Inc.,8.10E+11,16.86,9.2,3.458609
GOOGL,Alphabet Inc Class A,7.34E+11,31.48,22.27,6.801692
GOOG,Alphabet Inc Class C,7.29E+11,40.29,22.27,6.772653
MSFT,Microsoft Corp.,6.90E+11,25.76,2.97,7.113097
FB,"Facebook, Inc.",5.23E+11,27.9,5.39,13.241967
V,Visa Inc.,2.70E+11,32.72,2.8,14.433654
INTC,Intel Corp.,2.12E+11,12.32,1.98,3.348876
ORCL,Oracle Corp.,2.02E+11,18.81,2.2,5.256165
CSCO,Cisco Systems,1.99E+11,17.87,1.91,5.484418
MA,Mastercard Inc.,1.87E+11,34.99,3.65,15.020556
