Symbol,Name,Market Cap,Price/Earnings,Earnings/Share,Price/Sales
AAPL,Apple Inc.,"809,508,000,000",16.86,9.2,3.46
MSFT,Microsoft Corp.,"689,978,000,000",25.76,2.97,7.11
FB,"Facebook, Inc.","523,423,000,000",27.9,5.39,13.24
V,Visa Inc.,"270,039,000,000",32.72,2.8,14.43
INTC,Intel Corp.,"211,536,000,000",12.32,1.98,3.35
ORCL,Oracle Corp.,"202,302,000,000",18.81,2.2,5.26
CSCO,Cisco Systems,"199,426,000,000",17.87,1.91,5.48
MA,Mastercard Inc.,"187,102,000,000",34.99,3.65,15.02
IBM,International Business Machines,"142,433,000,000",10.67,6.11,1.82
NVDA,Nvidia Corporation,"138,653,000,000",82.08,2.57,20.09
